Country Name,Year,Indicator Name,Value
Canada,2024,Terrestrial protected areas (% of total land area),12.9
Canada,2023,Terrestrial protected areas (% of total land area),12.8
Canada,2022,Terrestrial protected areas (% of total land area),12.7
Canada,2021,Terrestrial protected areas (% of total land area),11.9
Canada,2020,Terrestrial protected areas (% of total land area),9.9
Canada,2019,Terrestrial protected areas (% of total land area),11
Canada,2018,Terrestrial protected areas (% of total land area),9.6
Canada,2017,Terrestrial protected areas (% of total land area),9.7
Canada,2016,Terrestrial protected areas (% of total land area),9.7
Canada,2015,Terrestrial protected areas (% of total land area),9.3
Canada,2014,Terrestrial protected areas (% of total land area),9.4
Canada,2024,Marine protected areas (% of territorial waters),9.2
Canada,2023,Marine protected areas (% of territorial waters),9.1
Canada,2022,Marine protected areas (% of territorial waters),9.1
Canada,2021,Marine protected areas (% of territorial waters),8.9
Canada,2020,Marine protected areas (% of territorial waters),8.8
Canada,2019,Marine protected areas (% of territorial waters),3.1
Canada,2018,Marine protected areas (% of territorial waters),2.9
Canada,2017,Marine protected areas (% of territorial waters),0.9
Canada,2016,Marine protected areas (% of territorial waters),0.9
Canada,2015,Marine protected areas (% of territorial waters),0.9
Canada,2014,Marine protected areas (% of territorial waters),0.8